snapshot_date,product_id,store_id,supplier_id,qty_on_hand,qty_on_order,reorder_level,unit_cost
2026-01-04,20148,139,12,285,47,90,142.84
2025-12-14,20430,149,50,148,45,36,15.83
2025-06-21,20485,129,3,200,11,37,243.7
2026-01-21,20526,143,33,77,56,85,34.55
2024-05-26,20497,110,10,472,36,45,205.11
2024-05-12,20294,120,22,422,47,25,155.91
2025-02-15,20162,113,41,484,40,58,42.11
2024-07-23,20247,143,30,17,51,23,148.34
2024-10-25,20281,110,26,462,79,96,234.7
2025-01-23,20252,129,46,10,21,44,86.71
2024-09-11,20360,149,27,116,21,54,190.07
2025-09-15,20561,122,24,498,21,66,40.58
2025-03-30,20431,133,1,438,2,64,86.71
2025-05-13,20223,136,16,438,42,71,80.2
2025-06-30,20494,120,18,7,8,36,225.16
2024-12-04,20133,113,18,169,47,22,39.28
2026-02-11,20464,121,34,87,68,61,103.65
2024-10-06,20392,123,10,373,87,70,63.64
2025-04-18,20589,124,8,226,41,79,49.2
2024-11-26,20398,115,9,284,35,76,40.16
2024-12-10,20040,101,36,287,10,66,29.17
2024-09-04,20502,129,10,430,81,53,180.75
2024-04-21,20057,147,22,372,62,91,114.92
2025-03-08,20591,112,5,306,27,66,192.53
2025-08-02,20387,113,50,435,70,41,103.2
2025-08-13,20169,112,36,200,59,60,50.51
2025-01-19,20165,103,5,285,19,42,49.17
2025-07-12,20530,130,20,346,99,22,27.34
2025-01-13,20553,131,5,261,95,80,161.83
2024-05-28,20150,132,44,66,68,23,203.42
2025-04-28,20348,114,33,386,62,75,28.23
2025-12-08,20042,103,15,418,76,30,240.65
2024-12-16,20015,131,47,118,87,67,121.66
2024-08-21,20037,120,48,314,18,84,241.01
2024-03-21,20221,128,46,285,30,93,44.61
2026-02-27,20176,148,18,244,14,61,88.6
2024-04-30,20278,109,37,153,5,30,245.75
2024-09-19,20434,130,27,269,43,24,96.74
2025-05-16,20514,149,18,116,91,80,128.92
2025-02-07,20141,123,16,474,20,38,49.21
2024-06-27,20509,112,44,321,37,41,189.58
2025-10-03,20529,126,37,278,97,31,41.78
2025-05-12,20583,122,4,451,21,27,139.29
2025-05-06,20452,149,8,6,82,61,22.21
2024-05-02,20185,125,29,203,50,48,156.0
2024-03-31,20566,128,1,489,75,58,181.69
2026-02-19,20562,143,11,302,28,42,147.23
2024-07-27,20404,128,45,205,38,31,171.3
2025-03-29,20562,106,42,361,29,38,42.48
2025-12-29,20108,102,32,398,19,67,104.4
2024-10-08,20142,147,33,426,47,54,203.93
2024-10-31,20044,103,39,124,65,26,74.79
2026-01-29,20463,140,18,365,23,78,59.39
2024-09-29,20063,107,16,50,37,82,54.05
2024-08-13,20456,133,25,202,54,23,120.5
2025-02-28,20422,120,20,226,77,32,224.62
2024-06-14,20548,128,38,166,14,22,120.46
2024-09-01,20381,107,35,69,3,89,150.32
2024-11-19,20412,137,6,293,59,98,196.93
2024-04-23,20250,111,29,70,17,31,236.19
2024-10-18,20312,124,32,230,66,84,247.61
2024-12-29,20346,119,45,114,58,83,48.49
2025-04-20,20000,129,21,31,31,31,42.48
2025-03-12,20298,108,9,208,19,63,102.14
2025-04-17,20172,117,26,66,81,79,204.97
2025-12-26,20211,133,38,484,92,71,5.66
2025-01-05,20160,115,17,38,98,38,79.65
2024-03-22,20386,110,26,43,29,86,108.9
2024-09-25,20169,116,46,218,81,24,93.71
2025-09-14,20194,142,6,241,53,52,100.55
2026-02-11,20410,107,46,156,93,28,6.58
2025-04-29,20296,129,32,97,63,80,237.73
2024-06-20,20252,145,10,66,60,38,87.46
2025-01-26,20281,105,25,6,4,20,199.07
2025-01-23,20226,107,18,320,77,46,26.94
2024-06-01,20195,107,1,252,43,80,201.06
2025-01-02,20376,102,7,122,94,38,197.69
2024-10-10,20337,108,18,367,3,29,141.08
2024-03-16,20597,107,48,321,75,77,164.67
2025-11-13,20591,135,5,269,78,55,163.39
2025-01-07,20407,116,16,355,100,20,203.04
2025-06-21,20235,110,49,149,56,72,103.58
2025-08-03,20582,109,20,401,63,62,132.23
2025-09-24,20483,109,45,414,6,62,132.7
2025-02-10,20058,128,26,287,10,43,91.11
2024-03-12,20365,101,11,440,71,93,50.92
2025-03-02,20456,121,6,64,47,84,164.35
2024-05-19,20381,140,42,445,97,57,53.19
2025-07-30,20481,128,30,31,37,47,84.86
2024-06-12,20141,145,43,176,54,96,5.4
2025-10-28,20358,111,32,415,18,49,45.37
2025-03-07,20001,126,20,314,32,31,230.41
2025-10-18,20367,139,36,1,19,97,87.94
2024-06-24,20529,145,14,118,94,24,13.72
2026-03-08,20326,137,43,337,75,81,128.55
2025-06-18,20051,128,38,159,94,37,49.01
2024-10-19,20369,103,26,396,5,51,124.15
2025-12-05,20236,143,7,116,27,84,94.72
2024-04-01,20553,113,24,308,51,52,42.76
2024-05-26,20174,116,49,244,93,63,129.9
2025-09-18,20387,104,45,339,37,98,242.31
2024-09-27,20366,135,5,297,88,58,102.51
2025-02-09,20385,143,34,270,50,62,114.81
2025-01-17,20417,132,7,412,77,73,85.72
2025-03-30,20575,126,28,261,11,20,106.74
2024-09-14,20124,119,45,231,19,75,32.32
2024-11-26,20250,137,36,67,46,55,32.06
2024-08-02,20291,121,49,421,65,32,34.57
2025-12-02,20328,148,15,191,11,32,44.82
2024-06-04,20091,145,28,439,76,73,138.11
2025-09-20,20205,121,27,464,88,68,140.91
2025-04-03,20259,145,19,496,62,81,7.65
2025-07-06,20549,111,48,282,24,43,152.44
2024-04-27,20371,127,33,317,91,90,231.34
2024-08-15,20248,101,30,456,95,78,151.83
2024-08-29,20155,120,20,492,20,66,175.87
2025-09-01,20193,149,2,43,67,55,49.97
2024-05-23,20323,122,32,476,54,27,75.54
2024-05-17,20052,148,39,430,16,69,74.03
2025-04-08,20195,112,45,377,7,28,177.9
