sales_id,transaction_id,customer_sk,product_sk,date_sk,campaign_sk,store_sk,employee_sk,promotion_sk,quantity,unit_price,discount_amount,tax_amount,total_amount,margin_amount,payment_method,shipping_method,region
1,TXN-100157,883,465,2232,23,31,96,,12,236.31,28.357200000000002,224.58902400000002,3031.951824,2079.6828000000005,Apple Pay,Express,Central
2,TXN-100184,468,514,2232,39,16,300,,9,436.09,470.9772,276.306624,3730.139424,3389.8428000000004,PayPal,Store Pickup,East
3,TXN-100474,2092,286,2232,3,33,58,,13,237.67,896.0159,175.495528,2369.189628,-433.4758999999999,Apple Pay,Store Pickup,North
4,TXN-101095,2526,17,2232,32,40,125,,3,46.93,29.565899999999996,8.897928,120.122028,-126.61590000000001,Bank Transfer,Standard,Central
5,TXN-102360,2451,221,2232,40,4,468,,6,304.46,493.2252,106.682784,1440.217584,1029.3948,Google Pay,Standard,East
6,TXN-102393,2249,258,2232,45,34,96,,4,82.71,59.551199999999994,21.703104,292.991904,-347.43120000000005,Credit Card,Standard,North
7,TXN-102706,128,450,2232,49,27,66,,10,488.21,1074.062,304.64304,4112.6810399999995,3379.2379999999994,Credit Card,Standard,South
8,TXN-104531,2063,396,2232,19,9,388,,2,289.04,144.52,34.6848,468.24480000000005,155.46000000000004,Google Pay,Overnight,North
9,TXN-104579,915,397,2232,48,29,304,,2,491.79,157.3728,66.096576,892.3037760000001,745.3072000000001,Credit Card,Overnight,West
10,TXN-106234,589,209,2232,39,44,496,,8,140.19,168.22799999999998,76.26336,1029.55536,159.05200000000002,Google Pay,Overnight,East
11,TXN-108324,2164,92,2232,24,35,318,,7,176.56,173.02880000000002,85.031296,1147.9224960000001,-502.6587999999999,Bank Transfer,Express,West
12,TXN-108792,1645,555,2232,21,40,472,,4,451.61,36.128800000000005,141.624896,1911.9360960000001,1109.3512,PayPal,Standard,North
13,TXN-109261,397,574,2232,47,48,469,,2,378.23,181.5504,45.992768000000005,620.902368,204.84960000000007,Google Pay,Express,West
14,TXN-109443,1760,523,2232,38,35,183,,11,339.92,972.1712000000001,221.355904,2988.304704,2157.8788000000004,PayPal,Express,West
15,TXN-109524,2454,365,2232,7,26,70,,13,129.24,487.2348,95.43081600000002,1288.3160160000002,-230.87479999999982,Bank Transfer,Overnight,North
16,TXN-109615,2480,586,2232,16,42,111,,12,164.72,474.39359999999994,120.179712,1622.426112,252.4463999999998,Apple Pay,Express,Central
17,TXN-110813,2544,226,2232,48,16,279,,9,58.89,84.8016,35.616672,480.825072,-1021.6116,Apple Pay,Store Pickup,Central
18,TXN-111899,1084,262,2232,29,46,360,,7,155.35,163.1175,73.9466,998.2791,574.5425,Apple Pay,Standard,East
19,TXN-112503,1589,243,2232,21,1,161,,3,71.1,55.458,12.62736,170.46936,109.27199999999998,Credit Card,Overnight,West
20,TXN-112873,520,36,2232,6,47,356,,1,360.68,54.102,24.52624,331.10424,162.20800000000003,Credit Card,Store Pickup,West
21,TXN-113558,1245,493,2232,36,17,397,,9,275.68,521.0351999999999,156.80678400000002,2116.891584,-100.01519999999982,Google Pay,Overnight,West
22,TXN-113831,2575,448,2232,17,16,128,,6,356.02,384.50159999999994,140.129472,1891.747872,1688.3183999999999,Google Pay,Overnight,Central
23,TXN-114272,1900,29,2232,48,49,428,,13,484.03,314.6195,478.22164,6455.992139999999,5450.3605,Apple Pay,Store Pickup,East
24,TXN-115114,172,132,2232,7,5,172,,8,441.78,636.1632,231.84614399999998,3129.922944,1360.6367999999998,Apple Pay,Store Pickup,East
25,TXN-116585,2444,52,2232,16,25,273,,8,48.68,58.416,26.481920000000002,357.50592,-855.8560000000001,Apple Pay,Store Pickup,South
26,TXN-116931,2633,209,2232,47,22,494,,11,140.19,292.9971,99.927432,1349.0203319999998,157.01289999999995,Credit Card,Overnight,South
27,TXN-118373,58,45,2232,28,23,201,,8,23.06,27.671999999999997,12.54464,169.35263999999998,-1669.672,Apple Pay,Standard,North
28,TXN-118481,914,221,2232,44,21,359,,5,304.46,426.244,87.68448000000001,1183.74048,842.606,Credit Card,Standard,North
29,TXN-119341,2786,7,2232,31,1,17,,6,267.15,240.43499999999997,108.99719999999999,1471.4622,769.365,PayPal,Store Pickup,West
30,TXN-120752,174,32,2232,45,23,162,,10,463.49,509.83899999999994,330.00487999999996,4455.06588,2245.4609999999993,Google Pay,Standard,East
31,TXN-120993,2024,448,2232,23,34,220,,6,356.02,149.5284,158.927328,2145.518928,1923.2916,Credit Card,Standard,Central
32,TXN-121536,1363,461,2232,23,24,60,,15,432.63,1232.9955,420.51636,5676.970859999999,4326.4545,Bank Transfer,Store Pickup,South
33,TXN-121717,2605,143,2232,49,12,293,,2,291.44,128.2336,36.371711999999995,491.018112,-32.97360000000003,Bank Transfer,Store Pickup,East
34,TXN-121890,2442,334,2232,28,40,412,,10,13.88,38.864000000000004,7.994880000000001,107.93088,-528.064,Google Pay,Store Pickup,Central
35,TXN-122525,2337,593,2232,50,12,309,,9,408.83,367.947,264.92184,3576.4448399999997,2035.4129999999998,Bank Transfer,Express,South
36,TXN-123354,1326,464,2232,3,11,222,,9,124.76,235.79640000000003,70.96348800000001,958.0070880000001,21.51360000000011,Credit Card,Express,West
37,TXN-123636,2587,116,2232,34,13,431,,14,141.22,355.8744,129.696448,1750.902048,-1551.4744000000003,Credit Card,Store Pickup,East
38,TXN-125205,844,2,2232,24,32,226,,14,491.75,550.76,506.6992,6840.4392,3200.1199999999994,Credit Card,Express,North
39,TXN-125296,2109,329,2232,47,32,362,,11,335.83,147.7652,283.709184,3830.0739839999997,1073.4548,Google Pay,Express,West
40,TXN-125633,425,556,2232,37,37,55,,10,488.89,1417.7809999999997,277.68951999999996,3748.8085199999996,2411.0189999999993,PayPal,Store Pickup,Central
41,TXN-126236,1926,391,2232,20,2,212,,14,301.33,885.9101999999999,266.616784,3599.326584,589.2698,Bank Transfer,Standard,North
42,TXN-127095,2038,507,2232,17,17,432,,8,306.68,49.0688,192.349696,2596.720896,2115.7312,Apple Pay,Standard,West
43,TXN-127179,696,480,2232,24,34,155,,1,87.23,12.212200000000001,6.001424000000001,81.01922400000001,-146.3322,Bank Transfer,Standard,North
44,TXN-127928,1502,85,2232,48,3,271,,10,196.77,590.31,110.19120000000001,1487.5812,562.0900000000001,Bank Transfer,Standard,South
45,TXN-128053,2469,489,2232,6,31,37,,6,231.76,222.4896,93.445632,1261.516032,188.6304,Credit Card,Express,South
46,TXN-128211,539,310,2232,35,4,283,,2,486.84,272.6304,56.083968,757.133568,598.0096,PayPal,Overnight,West
47,TXN-128406,1948,360,2232,15,31,143,,9,308.78,611.3843999999999,173.41084799999996,2341.0464479999996,-51.13440000000037,Bank Transfer,Store Pickup,Central
48,TXN-129170,1777,512,2232,50,48,150,,11,76.14,117.2556,57.622752,777.907152,-1459.8056000000001,Google Pay,Express,North
49,TXN-129771,583,505,2232,47,50,469,,4,183.38,22.005599999999998,56.921152000000006,768.435552,465.8344,Credit Card,Store Pickup,South
50,TXN-130869,319,272,2232,31,26,58,,2,125.14,2.5028,19.822176,267.599376,131.5572,PayPal,Express,South
